   PID TTY      STAT   TIME COMMAND
  3052 ?        Sl     0:01 /usr/libexec/ibus-ui-gtk3
  3061 ?        Sl     0:00 /usr/libexec/ibus-x11 --kill-daemon
  3068 ?        Sl     0:00 /usr/libexec/ibus-portal
  3083 ?        Sl     0:01 /usr/libexec/ibus-engine-simple
  3130 ?        Sl     0:02 /usr/libexec/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2651x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2651/2
  3139 ?        Sl     0:02 /usr/libexec/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2651x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2651/3
  3150 ?        Sl     0:00 /usr/libexec/evolution-addressbook-factory
  3164 ?        Sl     0:02 /usr/libexec/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3150x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3150/2
  3186 ?        Sl     0:00 /usr/libexec/gvfsd-metadata
  3200 ?        Sl     0:08 /usr/libexec/gnome-terminal-server
  3208 ?        S      0:00 gnome-pty-helper
  3209 pts/0    Ss+    0:00 bash
 11957 ?        Ssl    0:00 /home/jack/.VimForCpp/nvim nfork.c
 11964 ?        Ssl    0:00 /home/jack/.VimForCpp/vim/bundle/LanguageClient-neovim/bin/languageclient
 11977 ?        Z      0:00 [querydb] <defunct>
 12551 ?        S      0:01 [kworker/u256:0]
 17086 ?        S      0:00 pickup -l -t unix -u
 32176 ?        S      0:00 [kworker/2:0]
 34664 ?        S      0:00 [kworker/u256:2]
 35970 ?        S      0:00 [kworker/0:0]
 41074 ?        S      0:00 [kworker/3:1]
 42769 ?        S      0:00 [kworker/u256:1]
 46548 ?        S      0:00 [kworker/2:2]
 48160 ?        S      0:00 [kworker/3:2]
 50080 ?        S      0:00 [kworker/u256:3]
 51120 ?        S      0:00 [kworker/0:2]
 52009 ?        S      0:00 sleep 60
 52056 pts/2    R+     0:00 ps ax
 58980 ?        S      0:04 [kworker/2:1]
 73436 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-479feff3-df7f-4225-9572-2fda0a71d554-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
 74026 ?        S      0:02 [kworker/1:0]
 75913 ?        Ss     0:00 sshd: jack [priv]
 76251 ?        S      0:01 sshd: jack@pts/2
 76264 pts/2    Ss     0:00 -bash
 97779 ?        S      0:00 [kworker/3:0]
103671 ?        S      0:00 [kworker/1:1]
104600 ?        S      0:00 [kworker/0:1]
